id,label,weight,info,class,solver,penalty,dual,tol,C,fit_intercept,intercept_scale,mutli-class
191,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
192,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
193,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
194,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
195,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
196,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
197,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
198,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
199,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
200,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
201,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
202,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
203,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
204,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
205,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
206,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
207,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
208,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
209,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
210,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
211,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
212,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
213,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
214,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
215,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
216,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
217,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
218,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
219,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
220,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
221,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
222,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
223,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
224,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
225,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
226,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
227,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
228,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
229,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
230,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
231,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
232,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
233,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
234,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
235,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
236,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
237,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
238,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
239,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
240,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
241,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
242,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
243,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
244,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
245,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
246,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
247,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
248,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
249,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
250,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
251,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
252,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
253,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
254,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
255,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
256,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
257,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
258,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
259,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
260,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
261,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
262,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
263,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
264,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
265,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
266,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
267,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
268,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
269,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
270,4,100,2,2, 'saga', 'l1', False,0,0.01, False,1, 'ovr'
271,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
272,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
273,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
274,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
275,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
276,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
277,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
278,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
279,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
280,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
281,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
282,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
283,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
284,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
285,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
286,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
287,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
288,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
289,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
290,4,100,2,2, 'saga', 'l1', False,0,10, False,1, 'ovr'
